-DOCSTART- -X- -X- O

До B-NP ADP O
прихода I-NP NOUN O
Мишустина I-NP PROPN O
в I-NP ADP O
2004 I-NP NUM O
году I-NP NOUN O
на I-NP ADP O
должность I-NP NOUN O
главы I-NP NOUN O
Федерального I-NP ADJ O
агентства I-NP NOUN O
кадастра I-NP NOUN O
недвижимости I-NP NOUN O
, I-NP PUNCT O
это I-NP PRON O
ведомство I-NP NOUN O
считалось B-VP VERB O
настоящей B-NP ADJ O
`` I-NP NOUN O
черной I-NP ADJ O
дырой I-NP NOUN O
'' B-VP PROPN O
. I-VP PUNCT O

Будущий B-NP ADJ O
премьер I-NP NOUN O
РФ I-NP PROPN O
превратил B-VP VERB O
его I-VP PRON O
в I-VP ADP O
образцовое I-VP ADJ O
правительственное B-NP ADJ O
учреждение I-NP NOUN O
. B-VP PUNCT O

Примерно B-VP ADV O
то I-VP PRON O
же I-VP PART O
самое I-VP ADJ O
потом I-VP ADV O
случилось I-VP VERB O
и B-NP CCONJ O
с I-NP ADP O
Федеральным I-NP ADJ O
агентством I-NP NOUN O
по I-NP ADP O
управлению I-NP NOUN O
особыми I-NP ADJ O
экономическими I-NP ADJ O
зонами I-NP NOUN O
, I-NP PUNCT O
и I-NP CCONJ O
с I-NP ADP O
Федеральной I-NP ADJ O
налоговой I-NP ADJ O
службой I-NP NOUN O
. B-VP PUNCT O

К B-NP ADP O
огорчению I-NP NOUN O
тех I-NP DET O
, B-VP PUNCT O
кто I-VP PRON O
не I-VP PART O
особо I-VP ADV O
любит I-VP VERB O
отдавать I-VP VERB O
государству B-NP NOUN O
свои I-NP DET O
долги I-NP NOUN O
, I-NP PUNCT O
Мишустин B-VP PROPN O
сделал I-VP VERB O
наших B-NP DET O
мытарей I-NP NOUN O
одними I-NP ADJ O
из I-NP ADP O
самых I-NP ADJ O
эффективных I-NP ADJ O
в I-NP ADP O
мире I-NP NOUN O
. B-VP PUNCT O

Теперь B-ROOT ADV O
от I-ROOT ADP O
53-летнего I-ROOT ADJ O
Михаила I-ROOT PROPN O
Владимировича I-ROOT PROPN O
Мишустина I-ROOT PROPN O
, B-VP PUNCT O
видимо I-VP ADV O
, I-VP PUNCT O
ждут I-VP VERB O
повторения B-NP NOUN O
подобных I-NP ADJ O
чудес I-NP NOUN O
в I-NP ADP O
масштабе I-NP NOUN O
всего I-NP DET O
правительства I-NP NOUN O
России I-NP PROPN O
. B-ROOT PUNCT O

Получится B-VP VERB O
ли I-VP PART O
это I-VP PRON O
у B-NP ADP O
нового I-NP ADJ O
премьера I-NP NOUN O
-- I-NP PROPN O
вопрос I-NP NOUN O
, I-NP PUNCT O
ответ I-NP NOUN O
на I-NP ADP O
который I-NP PRON O
может B-VP VERB O
дать I-VP VERB O
только B-NP PART O
будущее I-NP NOUN O
. B-VP PUNCT O

Но B-NP CCONJ O
если I-NP SCONJ O
у I-NP ADP O
кого-то I-NP NOUN O
и I-NP PART O
есть I-NP AUX O
шансы I-NP NOUN O
`` I-NP PROPN O
сотворить B-VP VERB O
экономическое B-NP ADJ O
волшебство I-NP NOUN O
'' I-NP PROPN O
, I-NP PUNCT O
так I-NP ADV O
это I-NP PRON O
у I-NP ADP O
Мишустина I-NP PROPN O
. I-NP PUNCT O

С B-NP ADP O
моей I-NP DET O
точки I-NP NOUN O
зрения I-NP NOUN O
, I-NP PUNCT O
назначая B-VP VERB O
нового B-NP ADJ O
